name,aliases,country,province,lat,lon,Route,URL
Info Centre Wall,Joggins|Nova Scotia|North America|International,Canada,Nova Scotia,45.68966,-64.45199,Community Property,https://www.mountainproject.com/route/121908225/community-property
The River Wall,Joggins|Nova Scotia|North America|International,Canada,Nova Scotia,45.68499,-64.45228,Minus et Plus,https://www.mountainproject.com/route/121908346/minus-et-plus
Upper Gorge,The DR Ice Crag|Nova Scotia|North America|International,Canada,Nova Scotia,45.45001,-64.4184,Terrace,https://www.mountainproject.com/route/120015230/terrace
Upper Pools East Bank,Folly River Ice Crag|Nova Scotia|North America|International,Canada,Nova Scotia,45.49695,-63.52773,Lower Bowl,https://www.mountainproject.com/route/120016209/lower-bowl
The River Wall,Joggins|Nova Scotia|North America|International,Canada,Nova Scotia,45.68499,-64.45228,Liquid Gold,https://www.mountainproject.com/route/121908363/liquid-gold
Info Centre Wall,Joggins|Nova Scotia|North America|International,Canada,Nova Scotia,45.68966,-64.45199,Steel Panther,https://www.mountainproject.com/route/121908230/steel-panther
Kasiks Ice,Highway 16 Ice|Northern BC|British Columbia|North America|International,Canada,British Columbia,54.29203,-129.40535,Golden Girl,https://www.mountainproject.com/route/118336613/golden-girl
Eagle's Nest (ICE),Madawaska Valley (ICE)|EAST ONTARIO: Ottawa to Toronto|Ontario Ice and Mixed|Ontario|North America|International,Canada,Ontario,45.07061,-77.86116,Jetstream,https://www.mountainproject.com/route/113205133/jetstream
Little Oliver Creek Ice,Highway 16 Ice|Northern BC|British Columbia|North America|International,Canada,British Columbia,54.80302,-128.27285,Cold Feet,https://www.mountainproject.com/route/118320837/cold-feet
Kasiks Ice,Highway 16 Ice|Northern BC|British Columbia|North America|International,Canada,British Columbia,54.29203,-129.40535,Caboose a Moose,https://www.mountainproject.com/route/118336662/caboose-a-moose
Pillar Wall,The DR Ice Crag|Nova Scotia|North America|International,Canada,Nova Scotia,45.44989,-64.41852,Business Time,https://www.mountainproject.com/route/120015318/business-time
Little Oliver Creek Ice,Highway 16 Ice|Northern BC|British Columbia|North America|International,Canada,British Columbia,54.80302,-128.27285,Tootsies,https://www.mountainproject.com/route/118320841/tootsies
Kasiks Ice,Highway 16 Ice|Northern BC|British Columbia|North America|International,Canada,British Columbia,54.29203,-129.40535,Quarry Routes,https://www.mountainproject.com/route/118336606/quarry-routes
Work Wall,The DR Ice Crag|Nova Scotia|North America|International,Canada,Nova Scotia,45.44961,-64.41857,9-5,https://www.mountainproject.com/route/120015470/9-5
Little Oliver Creek Ice,Highway 16 Ice|Northern BC|British Columbia|North America|International,Canada,British Columbia,54.80302,-128.27285,Pink Toast,https://www.mountainproject.com/route/118320828/pink-toast
Copper River FSR Ice,Highway 16 Ice|Northern BC|British Columbia|North America|International,Canada,British Columbia,54.52508,-128.41343,CRFSR-7.5 km,https://www.mountainproject.com/route/118342152/crfsr-75-km
LSR North,Little Salmon River Ice|New Brunswick|North America|International,Canada,New Brunswick,45.50138,-65.28785,Too Adult To Party,https://www.mountainproject.com/route/118304812/too-adult-to-party
LSR North,Little Salmon River Ice|New Brunswick|North America|International,Canada,New Brunswick,45.50138,-65.28785,FOMO Fuel,https://www.mountainproject.com/route/118314294/fomo-fuel
LSR North,Little Salmon River Ice|New Brunswick|North America|International,Canada,New Brunswick,45.50138,-65.28785,Glenkitchie,https://www.mountainproject.com/route/118254607/glenkitchie
Little Oliver Creek Ice,Highway 16 Ice|Northern BC|British Columbia|North America|International,Canada,British Columbia,54.80302,-128.27285,Wedding cake,https://www.mountainproject.com/route/118321874/wedding-cake
Whiteman Falls Drainage Ice/Mixed,Kananaskis|Alberta|North America|International,Canada,Alberta,50.67544,-115.07908,Whiteman Falls Drainage Ice/Mixed | 2822,https://www.mountainproject.com/route/107632822/whiteman-falls-drainage-icemixed-2822
Mill Lake (ICE),"Muskoka (ICE)|CENTRAL ONTARIO; Toronto Region and West of Hwy 11 to Sault Ste Marie; Bracebridge, Sudbury|Ontario Ice and Mixed|Ontario|North America|International",Canada,Ontario,45.36024,-80.01583,Claustrophobia,https://www.mountainproject.com/route/113237382/claustrophobia
LSR North,Little Salmon River Ice|New Brunswick|North America|International,Canada,New Brunswick,45.50138,-65.28785,The Jolly Rancher,https://www.mountainproject.com/route/118314290/the-jolly-rancher
Topaze,"04. Mauricie Ice|*Quebec Ice, Mixed & Alpine|Quebec|North America|International",Canada,Quebec,47.14795,-72.89925,La Zyrconia cubique,https://www.mountainproject.com/route/112517114/la-zyrconia-cubique
Lake of the Woods,Kenora|Ontario North Bouldering and Rock|Ontario|North America|International,Canada,Ontario,49.69204,-94.8413,Anyone's Guess?,https://www.mountainproject.com/route/113254587/anyones-guess
Bath Creek,Banff National Park|Alberta|North America|International,Canada,Alberta,51.49971,-116.37456,Bathos,https://www.mountainproject.com/route/111906448/bathos
LSR South,Little Salmon River Ice|New Brunswick|North America|International,Canada,New Brunswick,45.48931,-65.29139,The Moose's Tooth,https://www.mountainproject.com/route/114143198/the-mooses-tooth
LSR South,Little Salmon River Ice|New Brunswick|North America|International,Canada,New Brunswick,45.48931,-65.29139,Blue Steel,https://www.mountainproject.com/route/114143362/blue-steel
LSR North,Little Salmon River Ice|New Brunswick|North America|International,Canada,New Brunswick,45.50138,-65.28785,Easy Street,https://www.mountainproject.com/route/114031114/easy-street
LSR South,Little Salmon River Ice|New Brunswick|North America|International,Canada,New Brunswick,45.48931,-65.29139,Scotian Birthday Smash,https://www.mountainproject.com/route/114143269/scotian-birthday-smash
Topsail Bluff,Conception Bay South|Avalon Peninsula|Newfoundland|Newfoundland and Labrador|North America|International,Canada,Newfoundland and Labrador,47.54432,-52.91408,Call My Bluff,https://www.mountainproject.com/route/112466452/call-my-bluff
LSR North,Little Salmon River Ice|New Brunswick|North America|International,Canada,New Brunswick,45.50138,-65.28785,First Street,https://www.mountainproject.com/route/114031140/first-street
B. Entre-deux [CLOSED],"Mastigouche|14. Lanaudiere Ice|*Quebec Ice, Mixed & Alpine|Quebec|North America|International",Canada,Quebec,46.42712,-73.40303,La Grande Faille (AKA Solitaire),https://www.mountainproject.com/route/110164607/la-grande-faille-aka-solitaire
LSR South,Little Salmon River Ice|New Brunswick|North America|International,Canada,New Brunswick,45.48931,-65.29139,Three Pistols,https://www.mountainproject.com/route/114143250/three-pistols
B. Entre-deux [CLOSED],"Mastigouche|14. Lanaudiere Ice|*Quebec Ice, Mixed & Alpine|Quebec|North America|International",Canada,Quebec,46.42712,-73.40303,Princesse de glace,https://www.mountainproject.com/route/110164776/princesse-de-glace
Emerald Lake,Yoho|Rockies|British Columbia|North America|International,Canada,British Columbia,51.43937,-116.54151,Hamilton Falls,https://www.mountainproject.com/route/109568146/hamilton-falls
Sea Monster Area,Walton Glen Canyon Ice|New Brunswick|North America|International,Canada,New Brunswick,45.4917,-65.29909,Ceirean,https://www.mountainproject.com/route/112441784/ceirean
